pl_rade,st_teff,st_rad,st_met,st_age,is_gas_giant
12.016,5568.0,1.08,0.22,6.8,1
12.016048,5568.0,1.08,0.22,6.5,1
14.448,6158.0,1.237,0.17,2.0,1
14.448401,6158.0,1.237,0.17,2.0,1
13.33868703,6140.0,1.158,0.12,0.5,1
11.321,5246.0,0.838,0.0,7.8,1
11.65733993,5332.0,0.84,0.05,7.0,1
11.37711541,5350.0,0.86,0.02,6.5,1
11.32109,5246.0,0.837,0.0,7.8,1
11.152955,4803.0,0.749,0.1,12.4,1
11.153,4803.0,0.749,0.1,12.4,1
11.29865255,4962.0,0.773,0.166,7.2,1
12.689,4990.0,0.82,0.23,8.8,1
12.688588,4990.0,0.82,0.23,8.8,1
12.968813,6290.0,1.64,0.14,2.6,1
11.242627,6290.0,1.506,0.12,2.6,1
13.33871,6290.0,1.68,0.14,2.6,1
12.969,6290.0,1.64,0.14,2.6,1
11.007238,6290.0,1.474,0.12,2.6,1
9.718,4595.0,0.694,0.35,6.7,1
9.718203,4595.0,0.694,0.35,6.7,1
11.478016,5588.0,1.105,0.01,10.2,1
12.66614819,5695.0,1.248,0.04,7.8,1
11.478,5588.0,1.105,0.01,10.2,1
11.88154,5314.0,1.062,0.3,9.0,1
12.106,5302.0,1.04,0.24,12.4,1
12.10572,5302.0,1.04,0.24,12.4,1
15.333912,5905.0,1.203,0.15,4.0,1
15.334,5905.0,1.203,0.15,4.0,1
13.72,5885.0,1.089,0.13,2.1,1
13.921578,6373.0,1.317,-0.16,2.8,1
13.922,6373.0,1.317,-0.16,2.8,1
13.33871,5500.0,0.959,0.31,3.2,1
13.339,5500.0,0.959,0.31,3.2,1
6.333,5079.0,0.788,-0.04,9.0,1
7.30825542,5100.0,0.916,0.05,5.9,1
11.43318,5190.0,0.87,0.14,6.4,1
11.6349,5300.0,0.898,0.29,4.4,1
13.585308,5680.0,1.103,0.12,6.1,1
13.585,5680.0,1.103,0.12,6.1,1
12.408,6087.0,1.224,0.21,2.2,1
12.38592367,6140.0,1.272,0.25,2.5,1
12.408363,6087.0,1.224,0.21,2.2,1
10.076891,5185.0,0.833,0.27,1.5,1
10.211399,5190.0,0.85,0.24,2.9,1
9.27,5185.0,0.799,0.27,1.6,1
10.614923,5185.0,0.87,0.27,7.5,1
9.97601,5185.0,0.824,0.27,0.4,1
10.076891,5185.0,0.833,0.27,1.5,1
15.02006,6304.0,1.215,0.13,1.0,1
15.02,6304.0,1.215,0.13,1.0,1
11.99363,6070.0,1.36,0.15,3.17,1
20.052901,6207.0,1.219,-0.04,2.7,1
18.898374,6446.0,1.637,0.05,2.3,1
13.417173,6442.0,1.53,0.22,1.7,1
14.930388,6096.0,1.435,0.11,3.5,1
14.168176,5560.0,1.096,0.26,6.6,1
14.616536,5620.0,1.041,0.25,4.5,1
13.204202,5500.0,0.877,0.03,3.6,1
9.247425,5330.0,0.923,0.06,10.1,1
17.609339,6430.0,1.625,0.19,2.0,1
14.986433,5860.0,1.6,0.24,3.9,1
14.23543,5860.0,1.59,0.24,4.2,1
14.280266,5860.0,1.596,0.24,4.6,1
19.39157,6080.0,2.206,0.22,2.7,1
18.887165,6390.0,1.683,0.21,2.2,1
14.34752,5743.0,1.53,0.27,5.2,1
14.348,5743.0,1.53,0.27,5.2,1
14.359,5645.0,1.103,0.23,5.7,1
14.358729,5645.0,1.103,0.23,5.7,1
13.922,5295.0,0.949,0.33,7.5,1
15.984034,6330.0,1.319,0.07,2.0,1
15.984,6330.0,1.319,0.07,2.0,1
14.392,6120.0,1.396,0.3,2.5,1
15.838,6820.0,1.833,0.074,1.5,1
15.838317,6820.0,1.833,0.074,1.5,1
14.056086,5960.0,1.165,0.24,2.6,1
14.12,5960.0,1.167,0.24,2.6,1
14.437192,6280.0,1.698,-0.18,3.37,1
14.437192,6280.0,1.698,-0.18,3.37,1
13.50682174,5453.0,0.995,0.302,8.1,1
14.493237,5449.0,1.041,0.27,8.2,1
14.493237,5449.0,1.041,0.27,8.2,1
11.309881,5131.0,0.893,0.28,9.4,1
11.309881,5131.0,0.893,0.28,9.4,1
14.773462,5956.0,1.209,0.0,4.67,1
14.773462,5956.0,1.209,0.0,4.67,1
10.581296,4390.0,0.617,-0.127,3.9,1
10.581296,4390.0,0.617,-0.127,3.9,1
13.249038,5808.0,1.011,-0.03,4.2,1
13.249038,5808.0,1.011,-0.03,4.2,1
14.84069045,5804.0,1.105,0.003,5.3,1
16.432394,6566.0,1.428,-0.077,2.01,1
16.432394,6566.0,1.428,-0.077,2.01,1
15.838317,7500.0,1.5,-0.25,1.0,1
14.93036229,6078.0,1.53,-0.224,7.11,1
12.58768533,5678.0,1.1038,0.217,7.3,1
14.908,6570.0,1.46,-0.13,2.3,1
14.90797,6570.0,1.46,-0.13,2.3,1
15.636555,6570.0,1.518,-0.13,2.3,1
18.28184752,6212.0,2.197,0.037,2.765,1
10.07687365,5587.0,0.938,0.194,2.6,1
12.02723629,5629.0,1.17,0.414,8.1,1
12.5428494,5400.0,0.9661,0.251,9.0,1
19.08889413,6457.0,1.735,-0.113,2.88,1
18.05766791,5872.0,1.666,0.208,3.9,1
21.18501,5835.0,1.86,0.1,5.46,1
17.82231,6002.0,1.881,0.035,4.66,1
23.9872187,6640.0,2.62,0.14,1.46,1
23.370765,6406.0,2.546,-0.08,1.24,1
12.016048,4508.0,0.6701,-0.059,11.1,1
18.786284,7394.0,1.926,-0.069,1.27,1
16.92559,6350.0,2.0,0.26,2.07,1
16.25,6449.0,1.973,0.2,1.78,1
16.421185,6350.0,1.955,0.26,2.0,1
16.05,6360.0,1.96,0.23,2.4,1
20.96083,8450.0,1.858,-0.059,0.6,1
16.8135,6200.0,1.58,0.01,3.4,1
15.6926,6350.0,1.32,0.12,1.6,1
15.46842,6350.0,1.339,0.12,1.6,1
14.594118,5870.0,1.038,-0.06,6.0,1
10.861521,5880.0,1.105,0.15,3.3,1
10.861521,5880.0,1.105,0.15,3.3,1
16.92559,6060.0,1.444,-0.39,7.7,1
15.13215,6408.0,2.21,-0.1,2.36,1
13.585308,5523.0,0.887,0.05,2.5,1
13.585308,5523.0,0.887,0.05,2.5,1
11.65736,5408.0,0.93,0.28,4.9,1
11.646151,5346.0,0.933,0.33,4.9,1
11.646151,5346.0,0.933,0.33,4.9,1
12.385945,5311.0,0.922,0.0,11.0,1
14.5717,5738.0,1.238,-0.1,9.5,1
8.709393,5846.0,1.091,0.3,2.1,1
14.986433,5600.0,1.02,0.28,4.2,1
13.092112,5227.0,0.898,0.15,9.7,1
13.092,5227.0,0.898,0.15,9.7,1
20.84874,5780.0,1.199,0.28,4.2,1
15.636555,6125.0,1.12,-0.229,3.7,1
16.667783,6346.0,1.172,0.0,0.88,1
14.12334,5715.0,1.107,0.02,7.5,1
19.61575,6071.0,2.04,-0.02,4.04,1
16.8135,6438.0,1.74,0.09,2.3,1
13.383546,5498.0,0.922,0.01,6.2,1
13.46198582,5769.0,1.066,0.22,4.2,1
14.022459,5670.0,1.073,0.16,5.5,1
15.479629,6351.0,1.4,-0.157,3.2,1
15.48,6351.0,1.404,-0.157,3.2,1
13.170575,5943.0,1.061,0.06,2.3,1
18.38276,6050.0,1.87,0.0,4.3,1
14.000041,5700.0,1.097,0.39,3.5,1
13.78707,5659.0,1.022,0.29,3.0,1
16.02887,5380.0,0.98,0.25,7.7,1
16.409976,6300.0,1.433,0.21,2.13,1
13.843115,6149.0,1.155,0.28,0.62,1
6.792654,5326.0,0.877,0.051,11.46,1
6.882326,5732.0,1.105,-0.102,11.89,1
17.59813,6572.0,1.621,0.0,2.06,1
11.43318,5403.0,0.93,0.43,2.1,1
11.433,5403.0,0.925,0.43,2.1,1
17.71022,6460.0,2.26,0.01,2.07,1
14.90797,6424.0,1.71,0.47,1.34,1
15.6926,6060.0,1.48,0.22,3.26,1
13.22662,5099.0,0.812,0.05,8.6,1
11.960003,5080.0,0.847,0.32,9.7,1
14.414774,6450.0,1.315,0.02,1.52,1
10.121727,5495.0,0.853,-0.06,3.0,1
12.520453,4512.0,0.6564,-0.113,8.1,1
8.9672,4546.0,0.7152,0.186,11.97,1
8.574885,4405.0,0.6977,0.208,10.5,1
10.222608,5304.0,0.87,0.19,3.6,1
10.223,5304.0,0.871,0.19,3.6,1
11.37711541,5621.0,1.23,0.37,7.96,1
11.960003,5702.0,1.317,0.396,6.6,1
14.022459,6214.0,1.126,0.108,0.4,1
18.920792,6536.0,2.201,0.19,1.894,1
12.767051,5587.0,0.96,0.268,2.5,1
12.621334,5670.0,1.036,0.18,4.3,1
11.186582,3724.0,0.57,0.2,8.1,1
12.923977,5688.0,1.46,0.335,7.55,1
13.394755,5542.0,1.664,0.247,8.9,1
11.825495,5416.0,0.933,0.133,9.55,1
13.529263,5627.0,1.07,0.081,10.3,1
18.819911,6554.0,2.113,0.22,1.861,1
16.824709,6277.0,1.31,0.199,1.78,1
15.815899,6626.0,1.841,-0.017,2.17,1
18.887165,6594.0,1.441,0.332,0.51,1
13.809488,6147.0,1.748,0.21,3.02,1
10.592505,5137.0,0.8785,0.377,8.0,1
6.310667,4985.0,0.815,0.25,7.8,1
6.310667,4985.0,0.815,0.25,7.8,1
15.513256,7930.0,1.881,0.041,0.81,1
11.478016,3405.0,0.4783,0.17,3.2,1
8.0973816,4656.1,0.7214,0.099,12.17,1
11.56766808,3776.9,0.5758,0.514,11.0,1
9.90873894,3790.4,0.5848,0.522,14.9,1
12.09449018,4016.0,0.6259,0.322,4.6,1
13.05846252,4071.0,0.6428,0.253,12.1,1
9.785457,5679.0,1.086,0.21,5.1,1
9.785457,5679.0,1.086,0.21,5.1,1
11.937585,5366.0,1.503,0.34,10.8,1
11.937585,5366.0,1.503,0.34,10.8,1
0.956,4675.0,0.63,-0.343,6.88,0
0.99,4675.0,0.63,-0.343,6.88,0
2.23,6290.0,1.18,-0.24,4.0,0
2.4,6254.0,1.281,-0.278,5.91,0
2.44,6327.0,1.296,-0.311,4.48,0
4.4,6254.0,1.281,-0.278,5.91,0
3.95,6290.0,1.18,-0.24,4.0,0
4.35,6327.0,1.296,-0.311,4.48,0
1.615,5660.0,0.877,-0.28,6.7,0
2.071,5660.0,0.877,-0.28,6.7,0
3.083,5660.0,0.877,-0.28,6.7,0
2.017,5660.0,0.877,-0.28,6.7,0
2.888,5881.0,1.0,-0.07,0.027,0
2.59,5881.0,1.0,-0.07,0.027,0
2.2,5266.0,0.788,-0.2,8.1,0
2.388,5266.0,0.788,-0.2,8.1,0
2.852,5266.0,0.788,-0.2,8.1,0
1.94,5266.0,0.788,-0.2,8.1,0
2.601,5266.0,0.788,-0.2,8.1,0
2.607,5266.0,0.788,-0.2,8.1,0
3.2,6200.0,1.19,0.08,0.25,0
2.05,5732.0,0.968,0.14,4.0,0
11.2089807,6651.0,1.49,0.0,0.015,1
12.778238,5742.0,2.04,0.287,4.73,1
12.778238,5683.0,2.1,0.223,5.32,1
12.73340208,5683.0,2.102,0.223,5.32,1
12.55405838,5788.0,2.03,0.22,5.25,1
2.51,5710.0,1.05,-0.21,9.6,0
2.5320132,5698.0,1.0726,-0.121,9.8,0
1.664,5664.0,1.058,-0.24,12.3,0
1.643,5664.0,1.054,-0.34,11.7,0
1.482,5850.0,1.012,-0.25,8.2,0
2.857,5664.0,1.054,-0.34,11.7,0
2.608,5850.0,1.012,-0.25,8.2,0
2.916,5664.0,1.058,-0.24,12.3,0
2.507,5664.0,1.054,-0.34,11.7,0
2.562,5664.0,1.058,-0.24,12.3,0
1.31,5799.0,1.59,-0.03,8.3,0
11.500434,5521.0,2.336,0.29,4.51,1
11.466807,5474.0,2.341,0.04,4.46,1
8.127,6147.0,1.45,0.36,2.0,1
9.090499,6160.0,1.534,0.36,2.6,1
9.113,6160.0,1.541,0.36,2.6,1
6.83749,6147.0,1.29,0.36,1.2,1
7.330686,6160.0,1.368,0.36,1.9,1
3.05,6310.0,1.43,-0.16,3.97,0
3.41,6310.0,1.43,-0.16,3.97,0
5.94,6310.0,1.43,-0.16,3.97,0
5.83,6310.0,1.43,-0.16,3.97,0
1.64,5125.0,0.856,0.15,5.1,0
1.699,5131.0,0.839,0.03,7.5,0
1.77,5131.0,0.855,0.03,9.6,0
2.39,5125.0,0.856,0.15,5.1,0
2.522,5131.0,0.839,0.03,7.5,0
2.526,5131.0,0.855,0.03,9.6,0
11.937585,6079.0,1.487,0.24,2.8,1
12.184183,6079.0,1.5007,0.24,3.37,1
12.26262489,6046.0,1.517,0.208,3.3,1
3.49,5784.0,0.96,-0.038,3.1,0
3.53,5706.0,0.974,-0.07,2.6,0
3.55,5788.0,0.985,-0.023,2.6,0
2.7,5083.0,0.798,-0.05,0.3,0
2.6,5145.0,0.767,0.0,0.4,0
12.756,5040.0,0.756,-0.03,6.8,1
12.901559,5050.0,0.752,-0.03,1.4,1
12.755842,5040.0,0.756,-0.03,6.8,1
3.39512346,5385.0,0.934,-0.138,13.9,0
3.39,5348.0,0.94,-0.15,8.7,0
3.42,5427.0,0.945,-0.16,7.0,0
3.41,5348.0,0.94,-0.15,8.7,0
3.195,5348.0,0.94,-0.15,8.7,0
3.23,5427.0,0.945,-0.16,7.0,0
3.08,5348.0,0.94,-0.15,8.7,0
3.1823776,5385.0,0.934,-0.138,13.9,0
3.16,5427.0,0.945,-0.16,7.0,0
2.995,5348.0,0.94,-0.15,8.7,0
3.1168896,5385.0,0.934,-0.138,13.9,0
3.04,5348.0,0.94,-0.15,8.7,0
18.2370116,6442.0,2.554,0.232,1.63,1
17.317905,6272.0,2.591,0.3,1.7,1
1.72,5596.0,1.13,-0.07,11.0,0
2.25,4819.0,0.769,0.095,0.52,0
2.501,5070.0,0.779,-0.042,7.1,0
2.34302132,5106.0,0.7827,-0.03,4.7,0
15.233,6065.0,1.155,0.0,3.1,1
15.46842,6117.0,1.162,0.02,2.3,1
15.233031,6065.0,1.155,0.0,3.1,1
1.745,5978.0,1.1011,-0.04,3.8,0
2.697,5871.0,1.044,0.049,5.3,0
0.892,4640.0,0.695,0.003,3.8,0
1.533,4700.0,0.778,0.11,11.0,0
1.602,4699.0,0.778,0.11,11.0,0
1.507,4700.0,0.778,0.11,11.0,0
1.511,4699.0,0.778,0.11,11.0,0
1.61,4699.0,0.778,0.11,11.0,0
1.31,4699.0,0.778,0.11,11.0,0
4.71,5527.0,1.03,0.04,10.0,0
4.24,5527.0,1.03,0.04,10.0,0
9.17,5080.0,2.943,-0.08,4.9,1
0.91,5784.0,1.147,0.05,7.0,0
2.42,5784.0,1.147,0.05,7.0,0
2.4,5784.0,1.147,0.05,7.0,0
2.607,6169.0,1.117,-0.08,2.5,0
2.045,5037.0,0.789,-0.01,0.7,0
2.07506422,5087.0,0.7984,0.105,3.4,0
1.982,5075.0,0.772,-0.02,0.7,0
2.62,6220.0,1.41,-0.2,3.1,0
2.54535814,6353.0,1.4182,-0.018,2.3,0
1.36354953,6353.0,1.4182,-0.018,2.3,0
1.5,6220.0,1.41,-0.2,3.1,0
1.24,3803.0,0.439,-0.43,5.0,0
1.533,3803.0,0.439,-0.43,5.0,0
16.14096,6801.0,1.56,0.02,1.31,1
2.199,6120.0,1.446,0.0,1.1,0
2.69,6189.0,1.425,0.1,3.2,0
4.23,6120.0,1.446,0.0,1.1,0
4.13,6189.0,1.425,0.1,3.2,0
3.11,6189.0,1.425,0.1,3.2,0
3.25,6120.0,1.446,0.0,1.1,0
1.574,5286.0,0.835,0.03,5.0,0
1.67,5261.0,0.88,0.04,7.8,0
1.627,5300.0,0.871,0.037,10.2,0
2.74,5286.0,0.835,0.03,5.0,0
2.923,5300.0,0.871,0.037,10.2,0
3.0,5261.0,0.88,0.04,7.8,0
9.07303305,6128.0,1.266,0.043,2.9,1
9.718203,6089.0,1.277,0.036,4.3,1
2.54,5666.0,0.897,-0.27,2.5,0
2.45,6203.0,1.194,-0.12,3.0,0
3.71,8500.0,1.751,0.0,0.42,0
2.42763557,5934.0,1.0072,-0.05,2.4,0
2.45,5920.0,1.03,-0.08,2.4,0
2.14,5553.0,0.934,-0.07,0.414,0
2.112,5688.0,0.912,0.03,0.414,0
2.16351593,5634.0,0.9169,0.079,1.5,0
2.521,5688.0,0.912,0.03,0.414,0
2.58229101,5634.0,0.9169,0.079,1.5,0
2.692,5553.0,0.934,-0.07,0.414,0
1.073,5688.0,0.912,0.03,0.414,0
2.91575244,5513.0,0.9598,0.107,6.6,0
2.99,5534.0,0.959,0.07,6.8,0
2.9,5534.0,0.959,0.07,6.8,0
3.06451296,5513.0,0.9598,0.107,6.6,0
2.884,6252.6,1.22,0.143,1.15,0
2.49,4511.0,0.65,0.0,0.48,0
2.79,4511.0,0.65,0.0,0.48,0
2.84,4582.0,0.677,-0.055,0.78,0
2.39,4511.0,0.65,0.0,0.48,0
2.73,4582.0,0.677,-0.055,0.78,0
2.705,6046.0,1.31,0.18,3.85,0
2.89646124,6007.0,1.3174,0.215,3.1,0
11.242627,5574.0,1.037,0.34,5.9,1
11.242627,5574.0,1.037,0.34,5.9,1
1.613,5959.0,1.22,0.255,2.67,0
2.16,5863.0,1.053,0.018,4.6,0
2.49,5861.0,1.543,0.06,7.9,0
6.86,5499.0,1.657,0.45,9.4,1
7.39794,5576.0,1.747,0.421,7.53,1
7.263432,5622.0,1.733,0.436,4.18,1
1.46954368,5908.0,1.0311,0.11,1.3,0
1.35,5987.0,1.043,0.1,1.4,0
3.228,5987.0,1.043,0.1,1.4,0
3.11976057,5908.0,1.0311,0.11,1.3,0
3.89,5212.0,0.87,0.04,5.08,0
4.27174254,5097.0,0.868,0.08,9.5,0
2.247,5170.0,0.741,-0.23,6.0,0
2.12,5212.0,0.728,-0.23,3.9,0
1.829,4930.0,0.742,-0.1,0.47,0
2.4,4930.0,0.742,-0.1,0.47,0
2.469,5048.0,0.758,0.0,5.5,0
2.53,5089.0,0.716,-0.16,2.0,0
1.58,5289.0,0.98,0.24,11.7,0
1.551,5289.0,0.98,0.24,11.2,0
1.538,5289.0,0.98,0.24,11.2,0
1.37,5289.0,0.98,0.24,11.7,0
2.419,6371.0,1.306,0.046,1.8,0
2.505,6371.0,1.306,0.046,1.8,0
22.75427,4590.0,0.7242,0.18,4.1,1
10.07,5675.0,1.38,0.0,0.017,1
2.56,5530.0,0.95,-0.09,8.2,0
2.53625843,5618.0,0.9603,0.007,6.0,0
2.48,5530.0,0.95,-0.09,8.2,0
2.52442508,5618.0,0.9603,0.007,6.0,0
3.0,5991.0,1.08,0.0,0.118,0
